This confirmation key is invalid or has expired.,확인 키가 잘못되었거나 만료되었습니다.,module,Magento_Customer,,,,,
Confirmation Email Template,확인 이메일 템플릿,lib,web,,,,,
Confirmation Email Sender,확인 이메일 발신자,lib,web,,,,,
Confirmed email,확인 이메일,module,Magento_Customer,,,,,
Send confirmation link,확인 링크 전송,module,Magento_Customer,,,,,
Confirmation Link Email,확인 링크 이메일,module,Magento_Customer,,,,,
OK,확인,module,Magento_Catalog,,,,,
Update,업데이트하기,module,Magento_Checkout,,,,,
OK,확인,module,Magento_GiftMessage,,,,,
Update,업데이트하기,module,Magento_GiftMessage,,,,,
Update,업데이트하기,module,Magento_NegotiableQuote,,,,,
OK,확인,module,Magento_NegotiableQuote,,,,,
OK,확인,module,Magento_Rma,,,,,
OK,확인,module,Magento_Ui,,,,,
Update,확인,module,Magento_VersionsCms,,,,,
Are you sure?,계속 진행하시겠습니까?,module,Magento_AdminNotification,,,,,
Are you sure?,계속 진행하시겠습니까?,module,Magento_Backend,,,,,
Are you sure?,계속 진행하시겠습니까?,module,Magento_Catalog,,,,,
Are you sure?,계속 진행하시겠습니까?,module,Magento_Integration,,,,,
Are you sure?,계속 진행하시겠습니까?,module,Magento_Review,,,,,
Are you sure?,계속 진행하시겠습니까?,module,Magento_Rma,,,,,
Are you sure?,계속 진행하시겠습니까?,module,Magento_Search,,,,,
Are you sure?,계속 진행하시겠습니까?,module,Magento_Shipping,,,,,
Return damaged products due to fire/flood,파손 반품 (화재/수해 등),lib,web,,,,,
Show Arrow,화살표 표시,lib,web,,,,,
Show Arrow,화살표 표시,lib,web,,,,,
Go to Home Page,홈페이지 바로가기,module,Magento_Catalog,,,,,
Go to Home Page,홈페이지 바로가기,module,Magento_CatalogSearch,,,,,
Go to Home Page,홈페이지 바로가기,module,Magento_Cms,,,,,
Go to Home Page,홈페이지 바로가기,module,Magento_Sales,,,,,
Go to Home Page,홈페이지 바로가기,module,Magento_VersionsCms,,,,,
Home,홈,module,Magento_Backend,,,,,
Home,홈,module,Magento_Catalog,,,,,
Home,홈,module,Magento_CatalogSearch,,,,,
Home,홈,module,Magento_Cms,,,,,
Home,홈,module,Magento_Sales,,,,,
Home,홈,module,Magento_VersionsCms,,,,,
Compatible File Extensions,호환 가능한 파일 확장자,module,Magento_Catalog,,,,,
Aus/NZ,호주/뉴질랜드,lib,web,,,,,
Host,호스트,module,Magento_Backend,,,,,
Example format: 200x300.,형식 예: 200x300,module,Magento_Catalog,,,,,
Enable Negotiated Rates,협상 요금 활성화,lib,web,,,,,
Persist Currently Compared Products,현재의 비교 제품을 유지하기,module,Magento_PersistentHistory,,,,,
Currently Active,현재 활동 중,module,Magento_CatalogStaging,,,,,
"If current frame position does not cover utmost pages, it renders the link to current position plus/minus this value.","현재 프레임 위치가 최대 페이지를 포함하지 않으면, 현재 위치에서 해당값을 더하거나 빼서 표시합니다.",module,Magento_Backend,,,,,
Show for Current,현재 표시,lib,web,,,,,
Your current currency is: %1.,현재 통화는 %1 입니다.,module,Magento_Directory,,,,,
Customers Now Online,현재 온라인 고객,module,Magento_Customer,,,,,
Now Online,현재 온라인,module,Magento_Customer,,,,,
Your current session has been expired.,현재 세션이 만료 되었습니다.,module,Magento_Security,,,,,
Your current session is terminated by another user of this account.,현재 세션은 이 계정의 다른 사용자에 의해 종료 됩니다.,module,Magento_Security,,,,,
Current Configuration Scope:,현재 설정 적용범위:,module,Magento_Config,,,,,
Current Status: %1<br/>,현재 상태: %1 <br/>,module,Magento_Sales,,,,,
Current User Identity Verification,현재 사용자 신원 확인,module,Magento_Backend,,,,,
Current User Identity Verification,현재 사용자 신원 확인,module,Magento_Integration,,,,,
Current User Identity Verification,현재 사용자 신원 확인,module,Magento_User,,,,,
Current Password,현재 비밀번호,module,Magento_Customer,,,,,
Current Password,현재 비밀번호,module,Magento_CustomerCustomAttributes,,,,,
Delete Current Hierarchy,현재 계층 삭제,module,Magento_VersionsCms,,,,,
Are you sure you want to delete current hierarchy?,현재 계층 구조를 삭제하시겠습니까?,module,Magento_VersionsCms,,,,,
Site-Wide Analysis Tool,현장 전체 분석 도구,lib,web,,,,,
Display Order ID in Header,헤더에 주문 번호를 표시,module,Magento_Sales,,,,,
Filter By Headers,헤더로 필터링,lib,web,,,,,
Header Key,헤더 키,lib,web,,,,,
Header Value,헤더 값,lib,web,,,,,
Allow All Products per Page,헌페이지에서 모든 상품 보기 허용,module,Magento_Catalog,,,,,
Not allowed parameters: %1. Please use only %2 and %3.,허용된 파라메터가 아닙니다: %1. %2와 %3만 사용하십시오.,module,Magento_Webapi,,,,,
Accepted Currency,허용된 통화,module,Magento_Authorizenet,,,,,
Accepted Currency,허용된 통화,module,Magento_AuthorizenetAcceptjs,,,,,
Allowed Credit Card Types,허용된 신용카드 타입,module,Magento_Braintree,,,,,
Allowed Credit Card Types,허용된 신용카드 타입,module,Magento_Paypal,,,,,
Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.,허용된 리소스 리스트를 컴파일하는 도중 문제가 발생했습니다. 예외 로그에서 더 많은 정보를 찾을 수 있습니다.,module,Magento_Authorization,,,,,
Allow Countries,허용된 국가,module,Magento_Backend,,,,,
File extensions allowed: .csv,허용되는 파일 확장자: .csv,module,Magento_AdvancedCheckout,,,,,
Maximum Failure Attempts Allowed,허용되는 최대 실패 시도 횟수,lib,web,,,,,
Maximum Failure Attempts Allowed,허용되는 최대 실패 시도 횟수,lib,web,,,,,
Allowed Methods,허용되는 방법,lib,web,,,,,
Documents Allowed Methods,허용되는 문서 방법,module,Magento_Dhl,,,,,
Must be in the allowed values list.,허용되는 값 목록에 있어야 합니다.,module,Magento_Catalog,,,,,
Allowed Currencies,허용 통화,module,Magento_Directory,,,,,
Allowed Scopes,허용 범위,module,Magento_AdminGws,,,,,
Accepted and Purchased,허용 및 구매,lib,web,,,,,
Maximum %1 email addresses allowed.,허용 되는 최대 이메일 주소는 %1개 입니다.,module,Magento_Invitation,,,,,
Maximum %1 email addresses allowed.,허용 되는 최대 이메일 주소는 %1개 입니다.,module,Magento_SendFriend,,,,,
Hub ID,허브 ID,module,Magento_Fedex,,,,,
Action,작업,module,Magento_AsynchronousOperations,,,,,
Action,작업,module,Magento_Search,,,,,
Row Total,행 합계,module,Magento_Bundle,,,,,
Row Total,행 합계,module,Magento_Downloadable,,,,,
Row Total,행 합계,module,Magento_Sales,,,,,
Row Total,행 합계,module,Magento_Tax,,,,,
Add Row,행 추가,module,Magento_AdvancedCheckout,,,,,
Row Subtotal,행 소계,module,Magento_AdvancedCheckout,,,,,
Row Subtotal,행 소계,module,Magento_Sales,,,,,
row weight,행 무게,module,Magento_Reminder,,,,,
Handling Applied,핸들링 적용,lib,web,,,,,
N/A,해당없음,module,Magento_Bundle,,,,,
N/A,해당없음,module,Magento_Catalog,,,,,
N/A,해당없음,module,Magento_GiftCard,,,,,
N/A,해당없음,module,Magento_Invitation,,,,,
N/A,해당없음,module,Magento_Logging,,,,,
N/A,해당없음,module,Magento_Payment,,,,,
N/A,해당없음,module,Magento_Paypal,,,,,
N/A,해당없음,module,Magento_Reminder,,,,,
N/A,해당없음,module,Magento_Sales,,,,,
N/A,해당없음,module,Magento_Shipping,,,,,
We can't move the item to the wish list.,해당상품을 위시리스트로 이동할 수 없습니다.,module,Magento_Wishlist,,,,,
Show Method if Not Applicable,해당되지 않는 경우 메소드 표시,lib,web,,,,,
Show Method if Not Applicable,해당되지 않는 경우 메소드 표시,lib,web,,,,,
Please select a shipping address for applicable items.,해당 항목에 대한 배송지 주소를 선택하세요.,module,Magento_Multishipping,,,,,
We don't recognize or support this file extension type.,해당 파일의 확장자를 인식할 수 없거나 지원하지 않는 형식입니다.,module,Magento_Catalog,,,,,
We don't recognize or support this file extension type.,해당 파일의 확장자를 인식할 수 없거나 지원하지 않는 형식입니다.,module,Magento_ConfigurableProduct,,,,,
We don't recognize or support this file extension type.,해당 파일의 확장자를 인식할 수 없거나 지원하지 않는 형식입니다.,module,Magento_Ui,,,,,
An attribute with this code already exists.,해당 코드를 가진 어트리뷰트가 이미 존재합니다.,module,Magento_Catalog,,,,,
An attribute with this code already exists.,해당 코드를 가진 어트리뷰트가 이미 존재합니다.,module,Magento_CustomerCustomAttributes,,,,,
Would you like to change the Customer Group for this order?,해당 주문을 위해 고객 그룹을 바꾸겠습니까?,module,Magento_Customer,,,,,
You can't add the item to shopping cart.,해당 제품을 장바구니에 추가할 수 없습니다.,module,Magento_ConfigurableProduct,,,,,
We can't add the item to shopping cart.,해당 제품을 장바구니에 추가할 수 없습니다.,module,Magento_MultipleWishlist,,,,,
This website cannot be deleted.,해당 웹사이트는 삭제할 수 없습니다.,module,Magento_Backend,,,,,
Select day of the month.,해당 월의 날짜를 선택하세요.,module,Magento_Reports,,,,,
When you enable this option your site may slow down.,해당 옵션을 활성화 시키면 사이트 속도가 느려질 수 있습니다.,module,Magento_AdvancedSearch,,,,,
There are no products in this option.,해당 옵션에는 상품이 없습니다.,module,Magento_Bundle,,,,,
Add this attribute to the list of filter options in the product grid.,해당 어트리뷰트를 제품 그리드의 필터 옵션 목록에 추가합니다.,module,Magento_Catalog,,,,,
Add this attribute to the list of column options in the product grid.,해당 어트리뷰트를 제품 그리드의 열 옵션 목록에 추가합니다.,module,Magento_Catalog,,,,,
This attribute cannot be edited.,해당 어트리뷰트는 수정할 수 없습니다.,module,Magento_Catalog,,,,,
This attribute no longer exists.,해당 어트리뷰트는 더이상 존재하지 않습니다.,module,Magento_Catalog,,,,,
This attribute no longer exists.,해당 어트리뷰트는 더이상 존재하지 않습니다.,module,Magento_CustomerCustomAttributes,,,,,
This attribute no longer exists.,해당 어트리뷰트는 더이상 존재하지 않습니다.,module,Magento_Rma,,,,,
This attribute set no longer exists.,해당 어트리뷰트 세트는 더이상 존재하지 않습니다.,module,Magento_Catalog,,,,,
"This identifier is reserved for ""CMS Home Page"" in configuration.","해당 식별자는 ""CMS 홈페이지"" 에 예약되어 있습니다.",module,Magento_Cms,,,,,
"This identifier is reserved for ""CMS No Route Page"" in configuration.","해당 식별자는 ""CMS No Route Page""에 예약되어 있습니다.",module,Magento_Cms,,,,,
"This identifier is reserved for ""CMS No Cookies Page"" in configuration.","해당 식별자는 ""CMS No Cookies Page""에 예약되어 있습니다.",module,Magento_Cms,,,,,
This store view cannot be deleted.,해당 스토어뷰는 삭제할 수 없습니다.,module,Magento_Backend,,,,,
This store cannot be deleted.,해당 스토어는 삭제할 수 없습니다.,module,Magento_Backend,,,,,
Notify for Quantity Below,해당 수량 이하일때 알림,module,Magento_Catalog,,,,,
Notify for Quantity Below,해당 수량 이하일때 알림,module,Magento_CatalogInventory,,,,,
Notify for Quantity Below,해당 수량 이하일때 알림,module,Magento_ScalableInventory,,,,,
This product doesn't exist.,해당 상품이 존재하지 않습니다.,module,Magento_Catalog,,,,,
The item was deleted,해당 상품이 삭제되었습니다.,module,Magento_Logging,,,,,
We can't find the item.,해당 상품을 찾을 수 없습니다.,module,Magento_MultipleWishlist,,,,,
The product was not found.,해당 상품을 찾을 수 없습니다.,module,Magento_ProductAlert,,,,,
We can't delete the item from the Wish List right now.,해당 상품을 일시적으로 위시리스트에서 삭제할 수 없습니다.,module,Magento_Wishlist,,,,,
We can't add the item to Wish List right now: %1.,해당 상품을 일시적으로 위시리스트에 담을 수 없습니다.: %1.,module,Magento_Wishlist,,,,,
We can't add the item to Wish List right now.,해당 상품을 일시적으로 위시리스트에 담을 수 없습니다.,module,Magento_Wishlist,,,,,
We can't update the item right now.,해당 상품을 업데이트 할 수 없습니다.,module,Magento_Checkout,,,,,
We can't remove the item.,해당 상품을 삭제할 수 없습니다.,module,Magento_Checkout,,,,,
This item has weight,해당 상품은 중량이 있습니다.,module,Magento_Catalog,,,,,
This item has no weight,해당 상품은 중량이 없습니다.,module,Magento_Catalog,,,,,
This product is no longer on sale.,해당 상품은 더이상 판매되지 않습니다.,module,Magento_CatalogEvent,,,,,
"Carrier with such method not found: %1, %2","해당 배송사를 찾을 수 없습니다: %1, %2",module,Magento_Checkout,,,,,
This store couldn't be found. Verify the store and try again.,해당 매장을 찾을 수 없습니다. 매장을 확인하고 다시 시도하세요.,module,Magento_AdvancedCheckout,,,,,
This group contains system attributes. Please move system attributes to another group and try again.,해당 그룹은 시스템 어트리뷰트를 포함하고 있습니다. 시스템 어트리뷰트를 다른 그룹으로 옮기고 다시 시도해 주십시오.,module,Magento_Catalog,,,,,
Something went wrong while saving this group.,해당 그룹 저장중 문제가 발생했습니다.,module,Magento_Catalog,,,,,
Payment from Applicable Countries,해당 국가에서의 결제,module,Magento_Payment,,,,,
Payment From Applicable Countries,해당 국가에서의 결제,module,Magento_Worldpay,,,,,
Payment from Applicable Countries,해당 국가에서 지불,module,Magento_Authorizenet,,,,,
Payment from Applicable Countries,해당 국가에서 지불,module,Magento_AuthorizenetAcceptjs,,,,,
Payment from Applicable Countries,해당 국가에서 지불,module,Magento_Braintree,,,,,
Payment from Applicable Countries,해당 국가에서 지불,module,Magento_CompanyCredit,,,,,
Payment from Applicable Countries,해당 국가에서 지불,module,Magento_Cybersource,,,,,
Payment from Applicable Countries,해당 국가에서 지불,module,Magento_Eway,,,,,
Payment from Applicable Countries,해당 국가에서 지불,module,Magento_OfflinePayments,,,,,
Ship to Applicable Countries,해당 국가로 배송,lib,web,,,,,
Shopping cart management is disabled for this customer.,해당 고객은 장바구니 관리를 사용할 수 없습니다.,module,Magento_AdvancedCheckout,,,,,
All other open sessions for this account were terminated.,해당 계정에 의해 열린 모든 세션이 종료되었습니다.,module,Magento_Security,,,,,
Please enter a transaction ID to authorize this payment.,해당 결제를 인증하기 위한 트랜잭션 ID를 입력해 주십시오.,module,Magento_Authorizenet,,,,,
Always optional.,항상 선택사항.,module,Magento_Customer,,,,,
Always (during development),항상 (개발기간중),module,Magento_Config,,,,,
Always,항상,module,Magento_Captcha,,,,,
Always,항상,module,Magento_Sitemap,,,,,
No Items Found,항목이 없습니다.,module,Magento_Wishlist,,,,,
You removed the items.,항목을 삭제했습니다.,module,Magento_AdvancedCheckout,,,,,
You removed the item.,항목을 삭제했습니다.,module,Magento_AdvancedCheckout,,,,,
No items,항목 없음,module,Magento_MultipleWishlist,,,,,
No items,항목 없음,module,Magento_Sales,,,,,
Item Status,항목 상태,module,Magento_Sales,,,,,
Remove item,항목 삭제,module,Magento_AdvancedCheckout,,,,,
Remove This Item,항목 삭제,module,Magento_Catalog,,,,,
Delete items,항목 삭제,module,Magento_Catalog,,,,,
Remove item,항목 삭제,module,Magento_Checkout,,,,,
Delete items,항목 삭제,module,Magento_Cms,,,,,
Delete items,항목 삭제,module,Magento_Customer,,,,,
Remove Item,항목 삭제,module,Magento_GiftRegistry,,,,,
Remove This Item,항목 삭제,module,Magento_LayeredNavigation,,,,,
Remove Item,항목 삭제,module,Magento_Multishipping,,,,,
Remove item,항목 삭제,module,Magento_Multishipping,,,,,
Remove item,항목 삭제,module,Magento_NegotiableQuote,,,,,
Remove item,항목 삭제,module,Magento_RequisitionList,,,,,
Delete items,항목 삭제,module,Magento_Search,,,,,
Delete items,항목 삭제,module,Magento_SharedCatalog,,,,,
Delete items,항목 삭제,module,Magento_Support,,,,,
Remove Item,항목 삭제,module,Magento_Wishlist,,,,,
Remove item,항목 삭제,module,Magento_Wishlist,,,,,
Remove This Item,항목 삭제,module,Magento_Wishlist,,,,,
Remove This Item,항목 삭제,theme,frontend/Magento/luma,,,,,
Update Items and Quantities,항목 및 수량 업데이트,module,Magento_AdvancedCheckout,,,,,
Update Items and Quantities,항목 및 수량 업데이트,module,Magento_GiftRegistry,,,,,
Update Items and Quantities,항목 및 수량 업데이트,module,Magento_Sales,,,,,
Edit item parameters,항목 매개 변수 수정,module,Magento_AdvancedCheckout,,,,,
Edit item parameters,항목 매개 변수 수정,module,Magento_Checkout,,,,,
Item,항목,module,Magento_AdvancedCheckout,,,,,
Items,항목,module,Magento_Backend,,,,,
Item,항목,module,Magento_Checkout,,,,,
Items,항목,module,Magento_Checkout,,,,,
item,항목,module,Magento_LayeredNavigation,,,,,
items,항목,module,Magento_LayeredNavigation,,,,,
Item,항목,module,Magento_MultipleWishlist,,,,,
Item,항목,module,Magento_Multishipping,,,,,
Items,항목,module,Magento_Multishipping,,,,,
Item,항목,module,Magento_Paypal,,,,,
Items,항목,module,Magento_Reports,,,,,
items,항목,module,Magento_RequisitionList,,,,,
item,항목,module,Magento_RequisitionList,,,,,
Item,항목,module,Magento_RequisitionList,,,,,
Items,항목,module,Magento_RequisitionList,,,,,
Items,항목,module,Magento_Rma,,,,,
Item,항목,module,Magento_Rma,,,,,
Item,항목,module,Magento_Sales,,,,,
Items,항목,module,Magento_Sales,,,,,
Total:,합계:,module,Magento_Checkout,,,,,
Grand Total,합계,module,Magento_CustomerSegment,,,,,
Grand Total,합계,module,Magento_Quote,,,,,
Grand Total,합계,module,Magento_Sales,,,,,
Grand Total,합계,module,Magento_SalesArchive,,,,,
Subtotal after discount.,디스카운트 후 소계,module,Magento_Sales,,,,,
Enter discount code,디스카운트 코드를 입력하세요,module,Magento_Checkout,,,,,
Enter discount code,디스카운트 코드를 입력하세요,module,Magento_NegotiableQuote,,,,,
Enter discount code,디스카운트 코드를 입력하세요,module,Magento_SalesRule,,,,,
Apply Discount Code,디스카운트 코드 적용,module,Magento_Checkout,,,,,
Apply Discount Code,디스카운트 코드 적용,module,Magento_NegotiableQuote,,,,,
Apply Discount Code,디스카운트 코드 적용,module,Magento_SalesRule,,,,,
Apply Discount,디스카운트 적용,module,Magento_Checkout,,,,,
Apply Discount,디스카운트 적용,module,Magento_NegotiableQuote,,,,,
Apply Discount,디스카운트 적용,module,Magento_SalesRule,,,,,
Discount Type Rule,디스카운트 유형 규칙,lib,web,,,,,
Discount Qty Step (Buy X),디스카운트 수량 단계(X 구매),lib,web,,,,,
Include Discount Amount,디스카운트 금액 포함,module,Magento_Sales,,,,,
Discount Amount,디스카운트 금액,module,Magento_Bundle,,,,,
Discount Amount,디스카운트 금액,module,Magento_CatalogRule,,,,,
Discount Amount,디스카운트 금액,module,Magento_CatalogRuleStaging,,,,,
Discount Amount,디스카운트 금액,module,Magento_Downloadable,,,,,
Discount Amount,디스카운트 금액,module,Magento_Sales,,,,,
Discount Amount,디스카운트 금액,module,Magento_SalesRule,,,,,
Discount Amount,디스카운트 금액,module,Magento_SalesRuleStaging,,,,,
Discount (%1),디스카운트 (%1),module,Magento_Sales,,,,,
Discount (%1),디스카운트 (%1),module,Magento_SalesRule,,,,,
Discount,디스카운트,module,Magento_AdvancedCheckout,,,,,
Discount,디스카운트,module,Magento_Catalog,,,,,
Discount,디스카운트,module,Magento_NegotiableQuote,,,,,
Discount,디스카운트,module,Magento_Payment,,,,,
Discount,디스카운트,module,Magento_Quote,,,,,
Discount,디스카운트,module,Magento_Reports,,,,,
Discount,디스카운트,module,Magento_Sales,,,,,
Discount,디스카운트,module,Magento_SalesRule,,,,,
Discount,디스카운트,module,Magento_SharedCatalog,,,,,
Allocated Email Template,할당된 이메일 템플릿,lib,web,,,,,
Allocated sources,할당된 소스,lib,web,,,,,
Unassign,할당되지 않았습니다,lib,web,,,,,
"One at the time, Series","한번에 하나, 시리즈",module,Magento_Banner,,,,,
"One at the time, Shuffle","한번에 하나, 섞어서",module,Magento_Banner,,,,,
"One at the time, Random","한번에 하나, 랜덤",module,Magento_Banner,,,,,
Only Once (version upgrade),한번만(버전 업그레이드),module,Magento_Config,,,,,
